Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
AG0004_R1_paired	15.84202897706244	49.0	135.95817484219873	0.0	7271963.0
AG0004_R2_paired	13.373702094166902	49.0	111.9296295924498	0.0	7271963.0
Arcadia_R1_paired	6.3719597034012025	49.0	234.5465458598424	0.0	1180728.0
Arcadia_R2_paired	6.2169628946650874	48.0	201.9968299218787	0.0	1180728.0
B2_R1_paired	0.9613046889730157	50.0	229.32760261619694	9.090909090909092	230105.0
B2_R2_paired	0.8646329289631467	50.0	183.5447268996161	9.090909090909092	230007.0
B71_R1_paired	11.430338265239186	49.0	217.42919273551377	18.181818181818183	9573368.0
B71_R2_paired	10.192264255652688	48.0	154.95810983135715	18.181818181818183	9573368.0
BF0072_R1_paired	16.064780234431737	49.0	133.13857873949553	0.0	5727437.0
BF0072_R2_paired	14.068000379111183	49.0	113.92177425958592	0.0	5727437.0
BN0019_R1_paired	19.00417359756061	49.0	145.06218377050052	0.0	7393167.0
BN0019_R2_paired	13.454637370582375	49.0	102.70016435446406	0.0	7393167.0
BN0119_R1_paired	16.37125661303952	50.0	144.95811008164122	0.0	4183059.0
BN0119_R2_paired	11.832078553191707	49.0	109.04279045550159	0.0	4183059.0
BN0123_R1_paired	15.736645307811642	50.0	142.2267617344349	0.0	4946787.0
BN0123_R2_paired	12.29508763363799	49.0	110.85695321023525	0.0	4946787.0
BN0202_R1_paired	17.14648612355478	50.0	145.39259918581257	0.0	5415215.0
BN0202_R2_paired	12.084604678520805	49.0	104.90393382349546	0.0	5415215.0
BN0252_R1_paired	18.408406040322475	50.0	144.82674666369854	0.0	7501945.0
BN0252_R2_paired	13.594039720378277	50.0	110.44767083736285	0.0	7501945.0
Bd8401_R1_paired	8.701365854002972	50.0	216.02891265418083	9.090909090909092	975559.0
Bd8401_R2_paired	7.7220965844674225	49.0	166.37136349518585	9.090909090909092	975559.0
BdBar_R1_paired	17.305472792364128	49.0	175.04332926365555	10.0	3592422.0
BdBar_R2_paired	16.005801967371326	49.0	139.5286324936213	10.0	3592422.0
Bm88324_R1_paired	14.790007006182819	48.0	221.63965446254954	9.090909090909092	1296994.0
Bm88324_R2_paired	13.112313577118968	48.0	163.2661369289295	9.090909090909092	1296994.0
Br7_R1_paired	12.744550737738066	49.0	138.00012017510002	9.090909090909092	3261907.0
Br7_R2_paired	11.48770600231434	49.0	115.65561801731319	18.181818181818183	3261907.0
Br80_R1_paired	16.214785077730994	49.0	207.46225732384957	9.090909090909092	3454604.0
Br80_R2_paired	14.22447525557952	48.0	151.94229150432292	18.181818181818183	3454604.0
CD0065_R1_paired	19.886327140423916	50.0	144.84892783341857	0.0	6338474.0
CD0065_R2_paired	14.06616080783472	49.0	106.84757040890284	0.0	6338474.0
CD0142_R1_paired	20.13794379957325	50.0	144.94662220568705	0.0	9058130.0
CD0142_R2_paired	14.609481668216446	50.0	107.87482924179714	0.0	9058130.0
CH0043_R1_paired	19.900781332275614	50.0	145.1247956723991	0.0	9362416.0
CH0043_R2_paired	14.278382928687392	50.0	105.54370335605681	0.0	9362416.0
CH0072_R1_paired	17.834378614205576	50.0	144.1893261284161	0.0	6769821.0
CH0072_R2_paired	13.224882899371721	50.0	108.53309356333055	0.0	6769821.0
CH0452_R1_paired	14.794535885581084	50.0	142.33508807980564	0.0	5275216.0
CH0452_R2_paired	11.422673851828506	50.0	112.23242820767908	0.0	5275216.0
CH0461_R1_paired	18.952952117227767	50.0	145.20985091294366	0.0	8284958.0
CH0461_R2_paired	13.08993744042067	50.0	102.80816462799208	0.0	8284958.0
CH0533_R1_paired	17.31640165616612	50.0	144.6574809047021	0.0	5747881.0
CH0533_R2_paired	12.6538570425827	50.0	109.99608064258811	0.0	5747881.0
CH1103_R1_paired	16.984680069222108	50.0	144.78841068948506	0.0	5002748.0
CH1103_R2_paired	12.33206022593231	50.0	109.20339381475941	0.0	5002748.0
CH1164_R1_paired	14.602943501141098	50.0	144.66738896918488	0.0	4149231.0
CH1164_R2_paired	10.155884567785094	50.0	107.05092437610729	0.0	4149231.0
CHW_R1_paired	13.092676778237973	49.0	219.29664797062003	9.090909090909092	1598912.0
CHW_R2_paired	11.406137596552085	48.0	147.6968075791538	18.181818181818183	1598912.0
CM0028_R1_paired	21.001914881378198	50.0	141.84736388118603	0.0	12551957.0
CM0028_R2_paired	15.760762847189042	50.0	109.07365058691644	0.0	12551957.0
FR1067_R1_paired	16.999188479305545	48.0	141.43250172342258	0.0	9968536.0
FR1067_R2_paired	12.91250336066632	48.0	109.04442598190948	0.0	9968536.0
FR1069_R1_paired	17.208029247554194	48.0	141.57464527093023	0.0	11313282.0
FR1069_R2_paired	13.393271281963862	48.0	110.74208227108632	0.0	11313282.0
G17_R1_paired	14.252053946621885	48.0	221.2275077725423	9.090909090909092	2056277.0
G17_R2_paired	12.552363472189441	47.0	163.98286612163633	9.090909090909092	2056277.0
G22_R1_paired	17.358228061905322	49.0	170.67378731926354	9.090909090909092	3167734.0
G22_R2_paired	16.744619346111506	48.0	144.75638263818868	9.090909090909092	3167734.0
GFSI1-7-2_R1_paired	23.045574354133535	45.0	69.65699785884071	0.0	23890329.0
GFSI1-7-2_R2_paired	22.729126773485476	45.0	69.07114443673002	0.0	23890329.0
GG11_R1_paired	7.869792262297253	49.0	201.7678044576251	9.090909090909092	589417.0
GG11_R2_paired	7.0586427856433005	49.0	158.40083845562648	9.090909090909092	589417.0
GN0001_R1_paired	14.583137724449202	49.0	141.55849631243225	0.0	7842161.0
GN0001_R2_paired	11.530460347510726	49.0	112.49286121516761	0.0	7842161.0
GY0040_R1_paired	18.42607945634967	50.0	141.6987702913165	0.0	6766318.0
GY0040_R2_paired	13.982534351817648	50.0	109.848289719756	0.0	6766318.0
HO_R1_paired	15.305458403607844	49.0	180.5062965583937	9.090909090909092	3045235.0
HO_R2_paired	13.750284875365182	49.0	138.47291391304776	9.090909090909092	3045235.0
IA1_R1_paired	14.299184987411522	50.0	209.48308157258904	9.090909090909092	1518108.0
IA1_R2_paired	13.086065847921475	49.0	171.12147225362096	9.090909090909092	1518108.0
IB33_R1_paired	14.443520363003117	48.0	211.54261266250032	9.090909090909092	758460.0
IB33_R2_paired	12.743892771775364	48.0	138.975092951507	18.181818181818183	758460.0
IB49_R1_paired	20.037655511008666	49.0	179.98258814466465	9.090909090909092	3001231.0
IB49_R2_paired	19.042865243580337	48.0	152.6798893520692	9.090909090909092	3001231.0
IC17_R1_paired	15.746175677691866	49.0	185.05710098672836	9.090909090909092	1879950.0
IC17_R2_paired	15.155563145795881	49.0	161.98189845474613	9.090909090909092	1879950.0
IN0017_R1_paired	15.032137761390487	49.0	134.39685269292073	0.0	3585605.0
IN0017_R2_paired	12.628313392177219	49.0	113.56389395931788	0.0	3585605.0
IN0054_R1_paired	19.818609184197854	50.0	144.77656586778372	0.0	7944301.0
IN0054_R2_paired	14.82638329020017	49.0	109.99204637387228	0.0	7944301.0
IN0059_R1_paired	16.293985717734017	49.0	144.76679252132874	0.0	3580850.0
IN0059_R2_paired	11.399516875468876	49.0	107.15881620285687	0.0	3580850.0
IN0114_R1_paired	18.69099382574558	50.0	141.98146742466804	0.0	7563223.0
IN0114_R2_paired	14.718776350057013	49.0	110.78418803729573	0.0	7563223.0
IN0115_R1_paired	20.593901871269182	50.0	145.45133977283186	0.0	8519504.0
IN0115_R2_paired	14.862211533161059	49.0	105.58897114198197	0.0	8519504.0
IN0116_R1_paired	21.581734863779616	49.0	144.61224497986865	0.0	8969586.0
IN0116_R2_paired	16.03214575436199	49.0	108.67684528583594	0.0	8969586.0
INA168_R1_paired	19.5957487359951	47.0	68.72119389973506	9.090909090909092	22767339.0
INA168_R2_paired	20.461294456325945	47.0	69.79492491415004	0.0	22767339.0
IR00102_R1_paired	17.978186876735705	49.0	141.25590156527937	0.0	10958491.0
IR00102_R2_paired	14.043765309365085	49.0	110.42654714047764	0.0	10958491.0
IR0013_R1_paired	16.633106496430912	48.0	132.2319831091596	0.0	8941651.0
IR0013_R2_paired	13.80431940994977	48.0	110.9255251630823	0.0	8941651.0
IR0015_R1_paired	17.582638726674503	48.0	141.43498238646845	0.0	8783020.0
IR0015_R2_paired	13.25502984284708	48.0	107.59424207163367	0.0	8783020.0
IR0083_R1_paired	14.698927820535346	49.0	141.43738906842003	0.0	6991359.0
IR0083_R2_paired	11.213695556416098	49.0	110.3027691754922	0.0	6991359.0
